"Entry"	"Entry.name"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"
"A0A0D9R6G5"	"A0A0D9R6G5_CHLSB"	"unreviewed"	"L-lactate dehydrogenase (EC 1.1.1.27)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"334"
"A0A0D9RKS9"	"A0A0D9RKS9_CHLSB"	"unreviewed"	"Uncharacterized protein"	"RAB11A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"216"
"A0A0D9R5G0"	"A0A0D9R5G0_CHLSB"	"unreviewed"	"Queuosine salvage protein"	"C9orf64"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"341"
"A0A0D9R5G1"	"A0A0D9R5G1_CHLSB"	"unreviewed"	"Mitochondrial ribosomal protein S35"	"MRPS35"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"264"
"A0A0D9R772"	"A0A0D9R772_CHLSB"	"unreviewed"	"CP-type G domain-containing protein"	"GNL1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"607"
"A0A0D9R5T1"	"A0A0D9R5T1_CHLSB"	"unreviewed"	"Phosphoserine aminotransferase (EC 2.6.1.52)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"370"
"A0A0D9R6X7"	"A0A0D9R6X7_CHLSB"	"unreviewed"	"Single-stranded DNA-binding protein, mitochondrial"	"SSBP1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"148"
"A0A0D9R6Y5"	"A0A0D9R6Y5_CHLSB"	"unreviewed"	"RNA binding protein fox-1 homolog 2"	"RBFOX2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"366"
"A0A0D9R5Y5"	"A0A0D9R5Y5_CHLSB"	"unreviewed"	"Uncharacterized protein"	"PHF6"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"365"
"A0A0D9R5U5"	"A0A0D9R5U5_CHLSB"	"unreviewed"	"Calcium-activated neutral proteinase 1 (EC 3.4.22.52) (Calpain mu-type) (Calpain-1 catalytic subunit) (Calpain-1 large subunit) (Micromolar-calpain)"	"CAPN1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"816"
"A0A0D9R5N0"	"A0A0D9R5N0_CHLSB"	"unreviewed"	"Uncharacterized protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"129"
"A0A0D9R711"	"A0A0D9R711_CHLSB"	"unreviewed"	"Kinesin light chain"	"KLC2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"483"
"A0A0D9RN36"	"A0A0D9RN36_CHLSB"	"unreviewed"	"60S ribosomal protein L29"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"157"
"A0A0D9R8E8"	"A0A0D9R8E8_CHLSB"	"unreviewed"	"Uncharacterized protein"	"RAB7A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"207"
"A0A0D9R8P8"	"A0A0D9R8P8_CHLSB"	"unreviewed"	"SAP domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"361"
"A0A0D9R7D9"	"A0A0D9R7D9_CHLSB"	"unreviewed"	"Inorganic diphosphatase (EC 3.6.1.1)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"278"
"A0A0D9R7M9"	"A0A0D9R7M9_CHLSB"	"unreviewed"	"High mobility group nucleosome binding domain 1"	"HMGN1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"158"
"A0A0D9R7L4"	"A0A0D9R7L4_CHLSB"	"unreviewed"	"RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)"	"RTCB"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"505"
"A0A0D9R822"	"A0A0D9R822_CHLSB"	"unreviewed"	"Cleavage and polyadenylation specific factor 1"	"CPSF1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1442"
"A0A0D9R7E7"	"A0A0D9R7E7_CHLSB"	"unreviewed"	"Tubulin beta chain"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"444"
"A0A0D9R892"	"A0A0D9R892_CHLSB"	"unreviewed"	"RNA helicase (EC 3.6.4.13)"	"DDX47"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"455"
"A0A0D9R8J9"	"A0A0D9R8J9_CHLSB"	"unreviewed"	"Uncharacterized protein"	"CBR3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"277"
"A0A0D9R7I5"	"A0A0D9R7I5_CHLSB"	"unreviewed"	"Serine/threonine kinase receptor associated protein"	"STRAP"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"350"
"A0A0D9R899"	"A0A0D9R899_CHLSB"	"unreviewed"	"SEC61 translocon alpha 1 subunit"	"SEC61A1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"423"
"A0A0D9R7Q1"	"A0A0D9R7Q1_CHLSB"	"unreviewed"	"Calnexin"	"CANX"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"610"
"A0A0D9R8J7"	"A0A0D9R8J7_CHLSB"	"unreviewed"	"DnaJ heat shock protein family (Hsp40) member C9"	"DNAJC9"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"259"
"A0A0D9R829"	"A0A0D9R829_CHLSB"	"unreviewed"	"RNA helicase (EC 3.6.4.13)"	"DDX39B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"425"
"A0A0D9R8Q2"	"A0A0D9R8Q2_CHLSB"	"unreviewed"	"Enoyl-CoA hydratase (EC 4.2.1.17)"	"HADHA"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"763"
"A0A0D9R8V0"	"A0A0D9R8V0_CHLSB"	"unreviewed"	"Centromere protein V"	"CENPV"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"278"
"A0A0D9R7Y5"	"A0A0D9R7Y5_CHLSB"	"unreviewed"	"COP9 signalosome subunit 3"	"COPS3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"329"
"A0A0D9R8C6"	"A0A0D9R8C6_CHLSB"	"unreviewed"	"Coronin"	"CORO1B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"489"
"A0A0D9R7T1"	"A0A0D9R7T1_CHLSB"	"unreviewed"	"Heterogeneous nuclear ribonucleoprotein H1"	"HNRNPH1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"423"
"A0A0D9R7U5"	"A0A0D9R7U5_CHLSB"	"unreviewed"	"Pyruvate carboxylase (EC 6.4.1.1)"	"PC"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1179"
"A0A0D9R8E0"	"A0A0D9R8E0_CHLSB"	"unreviewed"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"RPN1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"607"
"A0A0D9R7C5"	"A0A0D9R7C5_CHLSB"	"unreviewed"	"Secretion associated Ras related GTPase 1A"	"SAR1A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"198"
"A0A0D9R7Z4"	"A0A0D9R7Z4_CHLSB"	"unreviewed"	"Heterogeneous nuclear ribonucleoprotein K"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"462"
"A0A0D9R7M7"	"A0A0D9R7M7_CHLSB"	"unreviewed"	"Uncharacterized protein"	"RBM4B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"359"
"A0A0D9R8W0"	"A0A0D9R8W0_CHLSB"	"unreviewed"	"Large 60S subunit nuclear export GTPase 1"	"LSG1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"717"
"A0A0D9R8K0"	"A0A0D9R8K0_CHLSB"	"unreviewed"	"Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)"	"USP7"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1102"
"A0A0D9R8Q7"	"A0A0D9R8Q7_CHLSB"	"unreviewed"	"RNA helicase (EC 3.6.4.13)"	"DDX41"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"622"
"A0A0D9R8L1"	"A0A0D9R8L1_CHLSB"	"unreviewed"	"Phosphomannomutase (EC 5.4.2.8)"	"PMM2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"246"
"A0A0D9R8U1"	"A0A0D9R8U1_CHLSB"	"unreviewed"	"Valyl-tRNA synthetase (EC 6.1.1.9)"	"VARS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1264"
"A0A0D9R8L7"	"A0A0D9R8L7_CHLSB"	"unreviewed"	"RAB10, member RAS oncogene family"	"RAB10"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"200"
"A0A0D9R8P6"	"A0A0D9R8P6_CHLSB"	"unreviewed"	"OBG-type G domain-containing protein"	"DRG1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"367"
"A0A0D9R7E8"	"A0A0D9R7E8_CHLSB"	"unreviewed"	"Uncharacterized protein"	"PARP12"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"701"
"A0A0D9R8K1"	"A0A0D9R8K1_CHLSB"	"unreviewed"	"Chloride intracellular channel protein"	"CLIC1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"241"
"A0A0D9R7J5"	"A0A0D9R7J5_CHLSB"	"unreviewed"	"Developmentally regulated GTP binding protein 2"	"DRG2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"364"
"A0A0D9R8G3"	"A0A0D9R8G3_CHLSB"	"unreviewed"	"Uncharacterized protein"	"ZC3HAV1L"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"298"
"A0A0D9R7Y0"	"A0A0D9R7Y0_CHLSB"	"unreviewed"	"DNA replication licensing factor MCM2 (EC 3.6.4.12)"	"MCM2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"738"
"A0A0D9R8L5"	"A0A0D9R8L5_CHLSB"	"unreviewed"	"Y-box binding protein 3"	"YBX3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"373"
"A0A0D9R827"	"A0A0D9R827_CHLSB"	"unreviewed"	"14_3_3 domain-containing protein"	"YWHAH"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"246"
"A0A0D9R7K5"	"A0A0D9R7K5_CHLSB"	"unreviewed"	"Uncharacterized protein"	"SQSTM1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"440"
"A0A0D9R8U2"	"A0A0D9R8U2_CHLSB"	"unreviewed"	"ADF-H domain-containing protein"	"DBN1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"695"
"A0A0D9R7L9"	"A0A0D9R7L9_CHLSB"	"unreviewed"	"RRM domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"147"
"A0A0D9R8B1"	"A0A0D9R8B1_CHLSB"	"unreviewed"	"RuvB-like helicase (EC 3.6.4.12)"	"RUVBL1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"456"
"A0A0D9R7Y3"	"A0A0D9R7Y3_CHLSB"	"unreviewed"	"Forty-two-three domain-containing protein 1 (UAP56-interacting factor)"	"FYTTD1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"318"
"A0A0D9R8M1"	"A0A0D9R8M1_CHLSB"	"unreviewed"	"Annexin"	"ANXA7"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"466"
"A0A0D9R8K4"	"A0A0D9R8K4_CHLSB"	"unreviewed"	"GST class-pi (EC 2.5.1.18)"	"GSTP1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"383"
"A0A0D9R7D0"	"A0A0D9R7D0_CHLSB"	"unreviewed"	"Zinc finger CCCH-type containing 7A"	"ZC3H7A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"975"
"A0A0D9R869"	"A0A0D9R869_CHLSB"	"unreviewed"	"Serine/threonine-protein phosphatase (EC 3.1.3.16)"	"PPP1CA"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"330"
"A0A0D9R8K5"	"A0A0D9R8K5_CHLSB"	"unreviewed"	"Carbonyl reductase 1"	"CBR1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"234"
"A0A0D9R833"	"A0A0D9R833_CHLSB"	"unreviewed"	"Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)"	"ZC3HAV1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1027"
"A0A0D9R7S5"	"A0A0D9R7S5_CHLSB"	"unreviewed"	"Uncharacterized protein"	"LUC7L2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"392"
"A0A0D9RBE4"	"A0A0D9RBE4_CHLSB"	"unreviewed"	"Aspartate carbamoyltransferase (EC 2.1.3.2) (EC 3.5.2.3) (EC 6.3.5.5) (CAD protein) (Dihydroorotase) (Glutamine-dependent carbamoyl-phosphate synthase)"	"CAD"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2225"
"A0A0D9RB84"	"A0A0D9RB84_CHLSB"	"unreviewed"	"KH-type splicing regulatory protein"	"KHSRP"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"747"
"A0A0D9R8W6"	"A0A0D9R8W6_CHLSB"	"unreviewed"	"U6 snRNA-associated Sm-like protein LSm2"	"LSM2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"95"
"A0A0D9RAG1"	"A0A0D9RAG1_CHLSB"	"unreviewed"	"Centrosomal protein 170"	"CEP170"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1431"
"A0A0D9R9J2"	"A0A0D9R9J2_CHLSB"	"unreviewed"	"AP-3 complex subunit mu-1"	"AP3M1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"418"
"A0A0D9R9H4"	"A0A0D9R9H4_CHLSB"	"unreviewed"	"Nicotinate phosphoribosyltransferase (EC 6.3.4.21)"	"NAPRT"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"538"
"A0A0D9RAY1"	"A0A0D9RAY1_CHLSB"	"unreviewed"	"Fumarate hydratase, mitochondrial (EC 4.2.1.2)"	"FH"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"510"
"A0A0D9RB46"	"A0A0D9RB46_CHLSB"	"unreviewed"	"Tubulin beta chain"	"TUBB4A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"444"
"A0A0D9RAM8"	"A0A0D9RAM8_CHLSB"	"unreviewed"	"Protein disulfide-isomerase (EC 5.3.4.1)"	"PDIA3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"505"
"A0A0D9R924"	"A0A0D9R924_CHLSB"	"unreviewed"	"Plectin"	"PLEC"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"4605"
"A0A0D9R933"	"A0A0D9R933_CHLSB"	"unreviewed"	"Uncharacterized protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2421"
"A0A0D9RAL5"	"A0A0D9RAL5_CHLSB"	"unreviewed"	"40S ribosomal protein S6"	"RPS6"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"266"
"A0A0D9R9W0"	"A0A0D9R9W0_CHLSB"	"unreviewed"	"NmrA like redox sensor 1"	"NMRAL1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"299"
"A0A0D9RBI6"	"A0A0D9RBI6_CHLSB"	"unreviewed"	"Uncharacterized protein"	"INF2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1233"
"A0A0D9RAH5"	"A0A0D9RAH5_CHLSB"	"unreviewed"	"Aldo-keto reductase family 1 member B"	"AKR1B1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"426"
"A0A0D9RA32"	"A0A0D9RA32_CHLSB"	"unreviewed"	"Uncharacterized protein"	"HNRNPU"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"806"
"A0A0D9R8Z8"	"A0A0D9R8Z8_CHLSB"	"unreviewed"	"Coatomer subunit gamma"	"COPG1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"874"
"A0A0D9RB41"	"A0A0D9RB41_CHLSB"	"unreviewed"	"Protein argonaute-2 (Argonaute2) (EC 3.1.26.n2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Protein slicer)"	"AGO2 EIF2C2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"904"
"A0A0D9RAC2"	"A0A0D9RAC2_CHLSB"	"unreviewed"	"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)"	"ADSS ADSS2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"456"
"A0A0D9R9G1"	"A0A0D9R9G1_CHLSB"	"unreviewed"	"Eukaryotic translation elongation factor 1 delta"	"EEF1D"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"646"
"A0A0D9R9G7"	"A0A0D9R9G7_CHLSB"	"unreviewed"	"Metavinculin (Vinculin)"	"VCL"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1134"
"A0A0D9R9A5"	"A0A0D9R9A5_CHLSB"	"unreviewed"	"Mitochondrial ribosomal protein L39"	"MRPL39"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"359"
"A0A0D9RAP7"	"A0A0D9RAP7_CHLSB"	"unreviewed"	"Uncharacterized protein"	"SCAF4"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1151"
"A0A0D9R9A4"	"A0A0D9R9A4_CHLSB"	"unreviewed"	"Arp2/3 complex 34 kDa subunit"	"ARPC2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"300"
"A0A0D9R975"	"A0A0D9R975_CHLSB"	"unreviewed"	"ANK_REP_REGION domain-containing protein"	"MTPN"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"118"
"A0A0D9R949"	"A0A0D9R949_CHLSB"	"unreviewed"	"60 kDa poly(U)-binding-splicing factor (Poly(U)-binding-splicing factor PUF60)"	"PUF60"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"516"
"A0A0D9RAH6"	"A0A0D9RAH6_CHLSB"	"unreviewed"	"SH3 domain-containing protein"	"CTTN"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"550"
"A0A0D9R9R2"	"A0A0D9R9R2_CHLSB"	"unreviewed"	"IGv domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"117"
"A0A0D9RBD8"	"A0A0D9RBD8_CHLSB"	"unreviewed"	"Nucleophosmin"	"NPM1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"294"
"A0A0D9RBH6"	"A0A0D9RBH6_CHLSB"	"unreviewed"	"Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (IMP--aspartate ligase 1)"	"ADSSL1 ADSS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"457"
"A0A0D9RB24"	"A0A0D9RB24_CHLSB"	"unreviewed"	"Uncharacterized protein"	"NAP1L4"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"375"
"A0A0D9RA59"	"A0A0D9RA59_CHLSB"	"unreviewed"	"Thyroid hormone receptor interactor 10"	"TRIP10"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"545"
"A0A0D9RAT5"	"A0A0D9RAT5_CHLSB"	"unreviewed"	"Uncharacterized protein"	"SF3A1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"793"
"A0A0D9R9E0"	"A0A0D9R9E0_CHLSB"	"unreviewed"	"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)"	"PYCR3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"286"
"A0A0D9RB19"	"A0A0D9RB19_CHLSB"	"unreviewed"	"Cysteinyl-tRNA synthetase (EC 6.1.1.16)"	"CARS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"748"
"A0A0D9R9Q4"	"A0A0D9R9Q4_CHLSB"	"unreviewed"	"X-ray repair cross-complementing protein 5 (EC 3.6.4.-)"	"XRCC5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"732"
"A0A0D9R8X3"	"A0A0D9R8X3_CHLSB"	"unreviewed"	"CCR4-NOT transcription complex subunit 9 (Cell differentiation protein RQCD1 homolog)"	"CNOT9"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"299"
"A0A0D9RAF7"	"A0A0D9RAF7_CHLSB"	"unreviewed"	"Programmed cell death 6 interacting protein"	"PDCD6IP"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"868"
"A0A0D9RBI7"	"A0A0D9RBI7_CHLSB"	"unreviewed"	"DNA topoisomerase 2 (EC 5.6.2.2)"	"TOP2B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1621"
"A0A0D9RAJ1"	"A0A0D9RAJ1_CHLSB"	"unreviewed"	"Uncharacterized protein"	"CRIP2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"208"
"A0A0D9R9X4"	"A0A0D9R9X4_CHLSB"	"unreviewed"	"Fibronectin"	"FN1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2265"
"A0A0D9RA46"	"A0A0D9RA46_CHLSB"	"unreviewed"	"RNA helicase (EC 3.6.4.13)"	"EIF4A2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"362"
"A0A0D9RAJ5"	"A0A0D9RAJ5_CHLSB"	"unreviewed"	"Annexin"	"ANXA11"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"506"
"A0A0D9RB55"	"A0A0D9RB55_CHLSB"	"unreviewed"	"Leucine rich repeat, Ig-like and transmembrane domains 1"	"LRIT1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"624"
"A0A0D9R9Y5"	"A0A0D9R9Y5_CHLSB"	"unreviewed"	"CCT-theta (T-complex protein 1 subunit theta)"	"CCT8"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"548"
"A0A0D9R925"	"A0A0D9R925_CHLSB"	"unreviewed"	"L-type lectin-like domain-containing protein"	"LMAN2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"356"
"A0A0D9RAA2"	"A0A0D9RAA2_CHLSB"	"unreviewed"	"Aldo_ket_red domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"316"
"A0A0D9R8Y5"	"A0A0D9R8Y5_CHLSB"	"unreviewed"	"Uncharacterized protein"	"CNBP"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"177"
"A0A0D9RB86"	"A0A0D9RB86_CHLSB"	"unreviewed"	"FERM domain-containing protein"	"NF2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"590"
"A0A0D9RAN0"	"A0A0D9RAN0_CHLSB"	"unreviewed"	"Microtubule associated protein RP/EB family member 3"	"MAPRE3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"281"
"A0A0D9RD46"	"A0A0D9RD46_CHLSB"	"unreviewed"	"CS domain-containing protein"	"NUDCD2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"157"
"A0A0D9RCN8"	"A0A0D9RCN8_CHLSB"	"unreviewed"	"EMG1 N1-specific pseudouridine methyltransferase"	"EMG1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"244"
"A0A0D9RCR5"	"A0A0D9RCR5_CHLSB"	"unreviewed"	"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase)"	"RARS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"660"
"A0A0D9RBR7"	"A0A0D9RBR7_CHLSB"	"unreviewed"	"Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]"	"GART"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1010"
"A0A0D9RCV7"	"A0A0D9RCV7_CHLSB"	"unreviewed"	"ADP ribosylation factor 5"	"ARF5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"180"
"A0A0D9RBU2"	"A0A0D9RBU2_CHLSB"	"unreviewed"	"N-myc downstream-regulated gene 1 protein (Protein NDRG1)"	"NDRG1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"404"
"A0A0D9RCW2"	"A0A0D9RCW2_CHLSB"	"unreviewed"	"Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)"	"USP5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"843"
"A0A0D9RC78"	"A0A0D9RC78_CHLSB"	"unreviewed"	"Ribosomal protein"	"RPL10A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"217"
"A0A0D9RCA8"	"A0A0D9RCA8_CHLSB"	"unreviewed"	"Ubiquitin associated protein 2"	"UBAP2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1126"
"A0A0D9RC48"	"A0A0D9RC48_CHLSB"	"unreviewed"	"Deoxynucleoside triphosphate triphosphohydrolase SAMHD1"	"SAMHD1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"626"
"A0A0D9RBJ0"	"A0A0D9RBJ0_CHLSB"	"unreviewed"	"Glutamate dehydrogenase (NAD(P)(+)) (EC 1.4.1.3)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"558"
