"Entry"	"Entry.name"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"
"P06733"	"ENOA_HUMAN"	"reviewed"	"Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)"	"ENO1 ENO1L1 MBPB1 MPB1"	"Homo sapiens (Human)"	"434"
"P04062"	"GLCM_HUMAN"	"reviewed"	"Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.104) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)"	"GBA GC GLUC"	"Homo sapiens (Human)"	"536"
"P04792"	"HSPB1_HUMAN"	"reviewed"	"Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)"	"HSPB1 HSP27 HSP28"	"Homo sapiens (Human)"	"205"
"Q3B8N2"	"LEG9B_HUMAN"	"reviewed"	"Galectin-9B (Gal-9B) (Galectin-9-like protein A)"	"LGALS9B"	"Homo sapiens (Human)"	"356"
"P05023"	"AT1A1_HUMAN"	"reviewed"	"Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)"	"ATP1A1"	"Homo sapiens (Human)"	"1023"
"P05114"	"HMGN1_HUMAN"	"reviewed"	"Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1)"	"HMGN1 HMG14"	"Homo sapiens (Human)"	"100"
"P02675"	"FIBB_HUMAN"	"reviewed"	"Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]"	"FGB"	"Homo sapiens (Human)"	"491"
"P02679"	"FIBG_HUMAN"	"reviewed"	"Fibrinogen gamma chain"	"FGG PRO2061"	"Homo sapiens (Human)"	"453"
"P05089"	"ARGI1_HUMAN"	"reviewed"	"Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)"	"ARG1"	"Homo sapiens (Human)"	"322"
"P04264"	"K2C1_HUMAN"	"reviewed"	"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)"	"KRT1 KRTA"	"Homo sapiens (Human)"	"644"
"Q9Y615"	"ACL7A_HUMAN"	"reviewed"	"Actin-like protein 7A (Actin-like-7-alpha)"	"ACTL7A"	"Homo sapiens (Human)"	"435"
"P02765"	"FETUA_HUMAN"	"reviewed"	"Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]"	"AHSG FETUA PRO2743"	"Homo sapiens (Human)"	"367"
"P06396"	"GELS_HUMAN"	"reviewed"	"Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)"	"GSN"	"Homo sapiens (Human)"	"782"
"P04406"	"G3P_HUMAN"	"reviewed"	"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)"	"GAPDH GAPD CDABP0047 OK/SW-cl.12"	"Homo sapiens (Human)"	"335"
"A6NI86"	"GG6LA_HUMAN"	"reviewed"	"Golgin subfamily A member 6-like protein 10"	"GOLGA6L10 GOLGA6L18"	"Homo sapiens (Human)"	"522"
"P06132"	"DCUP_HUMAN"	"reviewed"	"Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)"	"UROD"	"Homo sapiens (Human)"	"367"
"P02771"	"FETA_HUMAN"	"reviewed"	"Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)"	"AFP HPAFP"	"Homo sapiens (Human)"	"609"
"P07355"	"ANXA2_HUMAN"	"reviewed"	"Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)"	"ANXA2 ANX2 ANX2L4 CAL1H LPC2D"	"Homo sapiens (Human)"	"339"
"P07451"	"CAH3_HUMAN"	"reviewed"	"Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III)"	"CA3"	"Homo sapiens (Human)"	"260"
"P07108"	"ACBP_HUMAN"	"reviewed"	"Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)"	"DBI"	"Homo sapiens (Human)"	"87"
"P07384"	"CAN1_HUMAN"	"reviewed"	"Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)"	"CAPN1 CANPL1 PIG30"	"Homo sapiens (Human)"	"714"
"P08240"	"SRPRA_HUMAN"	"reviewed"	"Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha)"	"SRPRA SRPR"	"Homo sapiens (Human)"	"638"
"P07814"	"SYEP_HUMAN"	"reviewed"	"Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]"	"EPRS1 EPRS GLNS PARS QARS QPRS PIG32"	"Homo sapiens (Human)"	"1512"
"P07737"	"PROF1_HUMAN"	"reviewed"	"Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)"	"PFN1"	"Homo sapiens (Human)"	"140"
"P09493"	"TPM1_HUMAN"	"reviewed"	"Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)"	"TPM1 C15orf13 TMSA"	"Homo sapiens (Human)"	"284"
"P08621"	"RU17_HUMAN"	"reviewed"	"U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)"	"SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1"	"Homo sapiens (Human)"	"437"
"P09234"	"RU1C_HUMAN"	"reviewed"	"U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)"	"SNRPC"	"Homo sapiens (Human)"	"159"
"P09012"	"SNRPA_HUMAN"	"reviewed"	"U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)"	"SNRPA"	"Homo sapiens (Human)"	"282"
"P09327"	"VILI_HUMAN"	"reviewed"	"Villin-1"	"VIL1 VIL"	"Homo sapiens (Human)"	"827"
"P07437"	"TBB5_HUMAN"	"reviewed"	"Tubulin beta chain (Tubulin beta-5 chain)"	"TUBB TUBB5 OK/SW-cl.56"	"Homo sapiens (Human)"	"444"
"P07951"	"TPM2_HUMAN"	"reviewed"	"Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)"	"TPM2 TMSB"	"Homo sapiens (Human)"	"284"
"P08670"	"VIME_HUMAN"	"reviewed"	"Vimentin"	"VIM"	"Homo sapiens (Human)"	"466"
"P07741"	"APT_HUMAN"	"reviewed"	"Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)"	"APRT"	"Homo sapiens (Human)"	"180"
"P08758"	"ANXA5_HUMAN"	"reviewed"	"Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)"	"ANXA5 ANX5 ENX2 PP4"	"Homo sapiens (Human)"	"320"
"P07339"	"CATD_HUMAN"	"reviewed"	"Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]"	"CTSD CPSD"	"Homo sapiens (Human)"	"412"
"P04350"	"TBB4A_HUMAN"	"reviewed"	"Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)"	"TUBB4A TUBB4 TUBB5"	"Homo sapiens (Human)"	"444"
"P06753"	"TPM3_HUMAN"	"reviewed"	"Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)"	"TPM3"	"Homo sapiens (Human)"	"285"
"Q8NHM4"	"TRY6_HUMAN"	"reviewed"	"Putative trypsin-6 (EC 3.4.21.4) (Serine protease 3 pseudogene 2) (Trypsinogen C)"	"PRSS3P2 T6 TRY6"	"Homo sapiens (Human)"	"247"
"P08397"	"HEM3_HUMAN"	"reviewed"	"Porphobilinogen deaminase (PBG-D) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)"	"HMBS PBGD UPS"	"Homo sapiens (Human)"	"361"
"P08559"	"ODPA_HUMAN"	"reviewed"	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)"	"PDHA1 PHE1A"	"Homo sapiens (Human)"	"390"
"P08729"	"K2C7_HUMAN"	"reviewed"	"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)"	"KRT7 SCL"	"Homo sapiens (Human)"	"469"
"P08779"	"K1C16_HUMAN"	"reviewed"	"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)"	"KRT16 KRT16A"	"Homo sapiens (Human)"	"473"
"P07864"	"LDHC_HUMAN"	"reviewed"	"L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X)"	"LDHC LDH3 LDHX"	"Homo sapiens (Human)"	"332"
"P07476"	"INVO_HUMAN"	"reviewed"	"Involucrin"	"IVL"	"Homo sapiens (Human)"	"585"
"P08237"	"PFKAM_HUMAN"	"reviewed"	"ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)"	"PFKM PFKX"	"Homo sapiens (Human)"	"780"
"P08590"	"MYL3_HUMAN"	"reviewed"	"Myosin light chain 3 (Cardiac myosin light chain 1) (CMLC1) (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB) (Ventricular myosin alkali light chain) (Ventricular myosin light chain 1) (VLCl) (Ventricular/slow twitch myosin alkali light chain) (MLC-lV/sb)"	"MYL3"	"Homo sapiens (Human)"	"195"
"P08579"	"RU2B_HUMAN"	"reviewed"	"U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')"	"SNRPB2"	"Homo sapiens (Human)"	"225"
"P08708"	"RS17_HUMAN"	"reviewed"	"40S ribosomal protein S17 (Small ribosomal subunit protein eS17)"	"RPS17 RPS17L"	"Homo sapiens (Human)"	"135"
"P08134"	"RHOC_HUMAN"	"reviewed"	"Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)"	"RHOC ARH9 ARHC"	"Homo sapiens (Human)"	"193"
"P08865"	"RSSA_HUMAN"	"reviewed"	"40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)"	"RPSA LAMBR LAMR1"	"Homo sapiens (Human)"	"295"
"P09525"	"ANXA4_HUMAN"	"reviewed"	"Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)"	"ANXA4 ANX4"	"Homo sapiens (Human)"	"319"
"P08238"	"HS90B_HUMAN"	"reviewed"	"Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)"	"HSP90AB1 HSP90B HSPC2 HSPCB"	"Homo sapiens (Human)"	"724"
"P06748"	"NPM_HUMAN"	"reviewed"	"Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)"	"NPM1 NPM"	"Homo sapiens (Human)"	"294"
"P07900"	"HS90A_HUMAN"	"reviewed"	"Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)"	"HSP90AA1 HSP90A HSPC1 HSPCA"	"Homo sapiens (Human)"	"732"
"P07237"	"PDIA1_HUMAN"	"reviewed"	"Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)"	"P4HB ERBA2L PDI PDIA1 PO4DB"	"Homo sapiens (Human)"	"508"
"P07195"	"LDHB_HUMAN"	"reviewed"	"L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)"	"LDHB"	"Homo sapiens (Human)"	"334"
"P08243"	"ASNS_HUMAN"	"reviewed"	"Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)"	"ASNS TS11"	"Homo sapiens (Human)"	"561"
"P08133"	"ANXA6_HUMAN"	"reviewed"	"Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)"	"ANXA6 ANX6"	"Homo sapiens (Human)"	"673"
"P08727"	"K1C19_HUMAN"	"reviewed"	"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)"	"KRT19"	"Homo sapiens (Human)"	"400"
"P09429"	"HMGB1_HUMAN"	"reviewed"	"High mobility group protein B1 (High mobility group protein 1) (HMG-1)"	"HMGB1 HMG1"	"Homo sapiens (Human)"	"215"
"P07910"	"HNRPC_HUMAN"	"reviewed"	"Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)"	"HNRNPC HNRPC"	"Homo sapiens (Human)"	"306"
"P07148"	"FABPL_HUMAN"	"reviewed"	"Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)"	"FABP1 FABPL"	"Homo sapiens (Human)"	"127"
"P09211"	"GSTP1_HUMAN"	"reviewed"	"Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)"	"GSTP1 FAEES3 GST3"	"Homo sapiens (Human)"	"210"
"P07954"	"FUMH_HUMAN"	"reviewed"	"Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)"	"FH"	"Homo sapiens (Human)"	"510"
"P08754"	"GNAI3_HUMAN"	"reviewed"	"Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3)"	"GNAI3"	"Homo sapiens (Human)"	"354"
"P06744"	"G6PI_HUMAN"	"reviewed"	"Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)"	"GPI"	"Homo sapiens (Human)"	"558"
"P07203"	"GPX1_HUMAN"	"reviewed"	"Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase)"	"GPX1"	"Homo sapiens (Human)"	"203"
"P09417"	"DHPR_HUMAN"	"reviewed"	"Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)"	"QDPR DHPR SDR33C1"	"Homo sapiens (Human)"	"244"
"P09972"	"ALDOC_HUMAN"	"reviewed"	"Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)"	"ALDOC ALDC"	"Homo sapiens (Human)"	"364"
"P10809"	"CH60_HUMAN"	"reviewed"	"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)"	"HSPD1 HSP60"	"Homo sapiens (Human)"	"573"
"P12270"	"TPR_HUMAN"	"reviewed"	"Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)"	"TPR"	"Homo sapiens (Human)"	"2363"
"P09661"	"RU2A_HUMAN"	"reviewed"	"U2 small nuclear ribonucleoprotein A' (U2 snRNP A')"	"SNRPA1"	"Homo sapiens (Human)"	"255"
"P10155"	"RO60_HUMAN"	"reviewed"	"60 kDa SS-A/Ro ribonucleoprotein (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (Ro60) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2)"	"RO60 SSA2 TROVE2"	"Homo sapiens (Human)"	"538"
"P10599"	"THIO_HUMAN"	"reviewed"	"Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)"	"TXN TRDX TRX TRX1"	"Homo sapiens (Human)"	"105"
"Q01081"	"U2AF1_HUMAN"	"reviewed"	"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)"	"U2AF1 U2AF35 U2AFBP FP793"	"Homo sapiens (Human)"	"240"
"P09936"	"UCHL1_HUMAN"	"reviewed"	"Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1)"	"UCHL1"	"Homo sapiens (Human)"	"223"
"P11387"	"TOP1_HUMAN"	"reviewed"	"DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)"	"TOP1"	"Homo sapiens (Human)"	"765"
"P11388"	"TOP2A_HUMAN"	"reviewed"	"DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)"	"TOP2A TOP2"	"Homo sapiens (Human)"	"1531"
"P0DP25"	"CALM3_HUMAN"	"reviewed"	"Calmodulin-3"	"CALM3 CALML2 CAM3 CAMC CAMIII"	"Homo sapiens (Human)"	"149"
"P12429"	"ANXA3_HUMAN"	"reviewed"	"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)"	"ANXA3 ANX3"	"Homo sapiens (Human)"	"323"
"P11172"	"UMPS_HUMAN"	"reviewed"	"Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (EC 4.1.1.23) (OMPdecase)]"	"UMPS OK/SW-cl.21"	"Homo sapiens (Human)"	"480"
"P11586"	"C1TC_HUMAN"	"reviewed"	"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]"	"MTHFD1 MTHFC MTHFD"	"Homo sapiens (Human)"	"935"
"P10109"	"ADX_HUMAN"	"reviewed"	"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)"	"FDX1 ADX"	"Homo sapiens (Human)"	"184"
"P09874"	"PARP1_HUMAN"	"reviewed"	"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)"	"PARP1 ADPRT PPOL"	"Homo sapiens (Human)"	"1014"
"P12004"	"PCNA_HUMAN"	"reviewed"	"Proliferating cell nuclear antigen (PCNA) (Cyclin)"	"PCNA"	"Homo sapiens (Human)"	"261"
"P11177"	"ODPB_HUMAN"	"reviewed"	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)"	"PDHB PHE1B"	"Homo sapiens (Human)"	"359"
"P09651"	"ROA1_HUMAN"	"reviewed"	"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]"	"HNRNPA1 HNRPA1"	"Homo sapiens (Human)"	"372"
"P12236"	"ADT3_HUMAN"	"reviewed"	"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2) (ANT 2) (Adenine nucleotide translocator 3) (ANT 3) (Solute carrier family 25 member 6) [Cleaved into: ADP/ATP translocase 3, N-terminally processed]"	"SLC25A6 ANT3 CDABP0051"	"Homo sapiens (Human)"	"298"
"P55107"	"GDF10_HUMAN"	"reviewed"	"Growth/differentiation factor 10 (GDF-10) (Bone morphogenetic protein 3B) (BMP-3B) (Bone-inducing protein) (BIP)"	"GDF10 BMP3B"	"Homo sapiens (Human)"	"478"
"P10515"	"ODP2_HUMAN"	"reviewed"	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)"	"DLAT DLTA"	"Homo sapiens (Human)"	"647"
"P09601"	"HMOX1_HUMAN"	"reviewed"	"Heme oxygenase 1 (HO-1) (EC 1.14.14.18)"	"HMOX1 HO HO1"	"Homo sapiens (Human)"	"288"
"P11940"	"PABP1_HUMAN"	"reviewed"	"Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)"	"PABPC1 PAB1 PABP1 PABPC2"	"Homo sapiens (Human)"	"636"
"P11217"	"PYGM_HUMAN"	"reviewed"	"Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)"	"PYGM"	"Homo sapiens (Human)"	"842"
"A6NHG9"	"O5H14_HUMAN"	"reviewed"	"Olfactory receptor 5H14"	"OR5H14"	"Homo sapiens (Human)"	"310"
"P11234"	"RALB_HUMAN"	"reviewed"	"Ras-related protein Ral-B (EC 3.6.5.2)"	"RALB"	"Homo sapiens (Human)"	"206"
"P11055"	"MYH3_HUMAN"	"reviewed"	"Myosin-3 (Muscle embryonic myosin heavy chain) (Myosin heavy chain 3) (Myosin heavy chain, fast skeletal muscle, embryonic) (SMHCE)"	"MYH3"	"Homo sapiens (Human)"	"1940"
"P11216"	"PYGB_HUMAN"	"reviewed"	"Glycogen phosphorylase, brain form (EC 2.4.1.1)"	"PYGB"	"Homo sapiens (Human)"	"843"
"P11498"	"PYC_HUMAN"	"reviewed"	"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)"	"PC"	"Homo sapiens (Human)"	"1178"
"P12694"	"ODBA_HUMAN"	"reviewed"	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)"	"BCKDHA"	"Homo sapiens (Human)"	"445"
"P10916"	"MLRV_HUMAN"	"reviewed"	"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v) (Cardiac myosin light chain 2) (Myosin light chain 2, slow skeletal/ventricular muscle isoform) (MLC-2s/v) (Ventricular myosin light chain 2)"	"MYL2 MLC2"	"Homo sapiens (Human)"	"166"
"P11182"	"ODB2_HUMAN"	"reviewed"	"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)"	"DBT BCATE2"	"Homo sapiens (Human)"	"482"
"P09622"	"DLDH_HUMAN"	"reviewed"	"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)"	"DLD GCSL LAD PHE3"	"Homo sapiens (Human)"	"509"
"P11142"	"HSP7C_HUMAN"	"reviewed"	"Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)"	"HSPA8 HSC70 HSP73 HSPA10"	"Homo sapiens (Human)"	"646"
"P11310"	"ACADM_HUMAN"	"reviewed"	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)"	"ACADM"	"Homo sapiens (Human)"	"421"
"P10412"	"H14_HUMAN"	"reviewed"	"Histone H1.4 (Histone H1b) (Histone H1s-4)"	"H1-4 H1F4 HIST1H1E"	"Homo sapiens (Human)"	"219"
"P0CG12"	"DERPC_HUMAN"	"reviewed"	"Decreased expression in renal and prostate cancer protein"	"DERPC"	"Homo sapiens (Human)"	"524"
"P12277"	"KCRB_HUMAN"	"reviewed"	"Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)"	"CKB CKBB"	"Homo sapiens (Human)"	"381"
"P10768"	"ESTD_HUMAN"	"reviewed"	"S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56)"	"ESD"	"Homo sapiens (Human)"	"282"
"P11413"	"G6PD_HUMAN"	"reviewed"	"Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)"	"G6PD"	"Homo sapiens (Human)"	"515"
